chrom	start	end	name	ctcf_occupancy	ctcf_frac
chr1	16155	16339	CTCF_0	1	0.0169
chr1	91068	91925	CTCF_1	10	0.1695
chr1	104738	105218	CTCF_2	3	0.0508
chr1	138956	139140	CTCF_3	1	0.0169
chr1	181189	182287	CTCF_4	16	0.2712
chr1	186631	186911	CTCF_5	1	0.0169
chr1	267680	268358	CTCF_6	56	0.9492
chr1	585873	586517	CTCF_7	38	0.6441
chr1	609193	609557	CTCF_8	1	0.0169
chr1	610326	611030	CTCF_9	5	0.0847
chr1	638408	639058	CTCF_10	1	0.0169
chr1	666009	666329	CTCF_11	1	0.0169
chr1	737369	737545	CTCF_12	1	0.0169
chr1	778377	779325	CTCF_13	48	0.8136
chr1	826772	827645	CTCF_14	3	0.0508
chr1	850325	850764	CTCF_15	16	0.2712
chr1	857808	858486	CTCF_16	19	0.322
chr1	869408	870487	CTCF_17	58	0.9831
chr1	876544	876828	CTCF_18	2	0.0339
chr1	890610	890930	CTCF_19	2	0.0339
chr1	904269	905540	CTCF_20	59	1.0
chr1	908110	908340	CTCF_21	1	0.0169
chr1	912674	913378	CTCF_22	29	0.4915
chr1	919496	920176	CTCF_23	10	0.1695
chr1	920754	921709	CTCF_24	50	0.8475
chr1	923060	923395	CTCF_25	5	0.0847
chr1	924614	926066	CTCF_26	14	0.2373
chr1	928898	929178	CTCF_27	1	0.0169
chr1	931593	931913	CTCF_28	6	0.1017
chr1	937739	938735	CTCF_29	47	0.7966
chr1	939048	939508	CTCF_30	8	0.1356
chr1	939733	940735	CTCF_31	12	0.2034
chr1	942353	943003	CTCF_32	1	0.0169
chr1	948182	948462	CTCF_33	1	0.0169
chr1	951316	952001	CTCF_34	33	0.5593
chr1	960411	960767	CTCF_35	1	0.0169
chr1	975764	976735	CTCF_36	57	0.9661
chr1	980719	981129	CTCF_37	1	0.0169
chr1	983847	984880	CTCF_38	58	0.9831
chr1	998368	999737	CTCF_39	12	0.2034
chr1	999902	1000542	CTCF_40	3	0.0508
chr1	1000710	1001214	CTCF_41	1	0.0169
chr1	1001450	1002531	CTCF_42	59	1.0
chr1	1004726	1005010	CTCF_43	1	0.0169
chr1	1005069	1005747	CTCF_44	2	0.0339
chr1	1013201	1013756	CTCF_45	3	0.0508
chr1	1014021	1014341	CTCF_46	2	0.0339
chr1	1015163	1015957	CTCF_47	45	0.7627
chr1	1019024	1019849	CTCF_48	56	0.9492
chr1	1026178	1026408	CTCF_49	1	0.0169
chr1	1032296	1033481	CTCF_50	56	0.9492
chr1	1034446	1034709	CTCF_51	1	0.0169
chr1	1035200	1035480	CTCF_52	2	0.0339
chr1	1040149	1041020	CTCF_53	21	0.3559
chr1	1049738	1050188	CTCF_54	2	0.0339
chr1	1051077	1051527	CTCF_55	1	0.0169
chr1	1054422	1055072	CTCF_56	7	0.1186
chr1	1058962	1059967	CTCF_57	41	0.6949
chr1	1062602	1062786	CTCF_58	1	0.0169
chr1	1063434	1064504	CTCF_59	59	1.0
chr1	1115234	1115544	CTCF_60	1	0.0169
chr1	1115869	1116522	CTCF_61	8	0.1356
chr1	1121689	1122778	CTCF_62	59	1.0
chr1	1123081	1123558	CTCF_63	5	0.0847
chr1	1124684	1125699	CTCF_64	2	0.0339
chr1	1155674	1156130	CTCF_65	1	0.0169
chr1	1157827	1158723	CTCF_66	2	0.0339
chr1	1164678	1165328	CTCF_67	1	0.0169
chr1	1167326	1167682	CTCF_68	1	0.0169
chr1	1173883	1174712	CTCF_69	3	0.0508
chr1	1205949	1206145	CTCF_70	2	0.0339
chr1	1206803	1207483	CTCF_71	7	0.1186
chr1	1208057	1208241	CTCF_72	1	0.0169
chr1	1230061	1231312	CTCF_73	32	0.5424
chr1	1232261	1232617	CTCF_74	1	0.0169
chr1	1237665	1238245	CTCF_75	1	0.0169
chr1	1239235	1239815	CTCF_76	1	0.0169
chr1	1244288	1244784	CTCF_77	3	0.0508
chr1	1245304	1245534	CTCF_78	1	0.0169
chr1	1247049	1247365	CTCF_79	3	0.0508
chr1	1247738	1247994	CTCF_80	1	0.0169
chr1	1250017	1250937	CTCF_81	26	0.4407
chr1	1264796	1265588	CTCF_82	32	0.5424
chr1	1267633	1267949	CTCF_83	1	0.0169
chr1	1272897	1273477	CTCF_84	1	0.0169
chr1	1273789	1275101	CTCF_85	11	0.1864
chr1	1276147	1276443	CTCF_86	1	0.0169
chr1	1278769	1279125	CTCF_87	1	0.0169
chr1	1281626	1281982	CTCF_88	1	0.0169
chr1	1283866	1284206	CTCF_89	7	0.1186
chr1	1290044	1290902	CTCF_90	58	0.9831
chr1	1291549	1292564	CTCF_91	58	0.9831
chr1	1294164	1294348	CTCF_92	1	0.0169
chr1	1299874	1300778	CTCF_93	44	0.7458
chr1	1301759	1302684	CTCF_94	50	0.8475
chr1	1304450	1304760	CTCF_95	1	0.0169
chr1	1304958	1305662	CTCF_96	14	0.2373
chr1	1305957	1306607	CTCF_97	25	0.4237
chr1	1307770	1308711	CTCF_98	15	0.2542
chr1	1310006	1310339	CTCF_99	2	0.0339
chr1	1310398	1310678	CTCF_100	1	0.0169
chr1	1324374	1324784	CTCF_101	1	0.0169
chr1	1331547	1332227	CTCF_102	1	0.0169
chr1	1333576	1334076	CTCF_103	1	0.0169
chr1	1344375	1345672	CTCF_104	45	0.7627
chr1	1347243	1349005	CTCF_105	3	0.0508
chr1	1349028	1350255	CTCF_106	55	0.9322
chr1	1354534	1355417	CTCF_107	1	0.0169
chr1	1361886	1362758	CTCF_108	12	0.2034
chr1	1364033	1364713	CTCF_109	2	0.0339
chr1	1371667	1372753	CTCF_110	59	1.0
chr1	1374967	1375719	CTCF_111	46	0.7797
chr1	1376246	1376707	CTCF_112	15	0.2542
chr1	1390521	1390991	CTCF_113	1	0.0169
chr1	1397934	1398214	CTCF_114	1	0.0169
chr1	1399191	1400157	CTCF_115	55	0.9322
chr1	1401768	1402692	CTCF_116	54	0.9153
chr1	1406874	1408221	CTCF_117	25	0.4237
chr1	1417205	1417855	CTCF_118	4	0.0678
chr1	1419770	1420574	CTCF_119	6	0.1017
chr1	1425625	1426015	CTCF_120	1	0.0169
chr1	1430135	1430797	CTCF_121	28	0.4746
chr1	1433175	1433619	CTCF_122	2	0.0339
chr1	1434080	1434837	CTCF_123	4	0.0678
chr1	1435258	1435602	CTCF_124	4	0.0678
chr1	1438067	1438503	CTCF_125	7	0.1186
chr1	1440572	1442011	CTCF_126	58	0.9831
chr1	1461783	1462402	CTCF_127	4	0.0678
chr1	1471397	1471961	CTCF_128	2	0.0339
chr1	1473155	1473889	CTCF_129	2	0.0339
chr1	1500992	1501448	CTCF_130	1	0.0169
chr1	1504618	1506061	CTCF_131	58	0.9831
chr1	1510583	1511361	CTCF_132	9	0.1525
chr1	1511686	1512264	CTCF_133	5	0.0847
chr1	1523810	1524200	CTCF_134	1	0.0169
chr1	1548786	1548970	CTCF_135	1	0.0169
chr1	1550774	1551714	CTCF_136	45	0.7627
chr1	1567749	1568329	CTCF_137	1	0.0169
chr1	1573612	1575119	CTCF_138	35	0.5932
chr1	1597429	1598335	CTCF_139	39	0.661
chr1	1599197	1600122	CTCF_140	16	0.2712
chr1	1615011	1615509	CTCF_141	2	0.0339
chr1	1615696	1616163	CTCF_142	2	0.0339
chr1	1620003	1620527	CTCF_143	31	0.5254
chr1	1625201	1625461	CTCF_144	2	0.0339
chr1	1627157	1627513	CTCF_145	1	0.0169
chr1	1628553	1628877	CTCF_146	2	0.0339
chr1	1630225	1630646	CTCF_147	5	0.0847
chr1	1644715	1645626	CTCF_148	10	0.1695
chr1	1658964	1659828	CTCF_149	40	0.678
chr1	1665502	1666238	CTCF_150	52	0.8814
chr1	1678766	1679619	CTCF_151	35	0.5932
chr1	1692764	1694143	CTCF_152	12	0.2034
chr1	1711935	1712777	CTCF_153	14	0.2373
chr1	1724254	1725129	CTCF_154	44	0.7458
chr1	1746292	1747275	CTCF_155	9	0.1525
chr1	1753225	1753891	CTCF_156	6	0.1017
chr1	1757876	1758252	CTCF_157	1	0.0169
chr1	1764169	1764645	CTCF_158	15	0.2542
chr1	1775674	1776324	CTCF_159	3	0.0508
chr1	1777826	1778529	CTCF_160	9	0.1525
chr1	1778752	1779719	CTCF_161	37	0.6271
chr1	1780179	1780745	CTCF_162	2	0.0339
chr1	1782238	1783263	CTCF_163	3	0.0508
chr1	1788694	1789586	CTCF_164	44	0.7458
chr1	1795029	1795345	CTCF_165	4	0.0678
chr1	1796338	1797187	CTCF_166	33	0.5593
chr1	1801254	1801704	CTCF_167	1	0.0169
chr1	1824957	1825407	CTCF_168	1	0.0169
chr1	1841603	1842788	CTCF_169	18	0.3051
chr1	1855461	1856345	CTCF_170	9	0.1525
chr1	1858439	1859369	CTCF_171	35	0.5932
chr1	1873746	1874182	CTCF_172	9	0.1525
chr1	1890930	1891434	CTCF_173	4	0.0678
chr1	1891437	1892017	CTCF_174	3	0.0508
chr1	1899022	1899672	CTCF_175	15	0.2542
chr1	1905959	1906909	CTCF_176	57	0.9661
chr1	1907287	1907701	CTCF_177	3	0.0508
chr1	1908612	1909864	CTCF_178	58	0.9831
chr1	1918655	1919580	CTCF_179	14	0.2373
chr1	1919677	1920033	CTCF_180	1	0.0169
chr1	1920393	1920577	CTCF_181	1	0.0169
chr1	1935733	1935963	CTCF_182	1	0.0169
chr1	1943668	1944716	CTCF_183	59	1.0
chr1	1954633	1955538	CTCF_184	23	0.3898
chr1	1955665	1955895	CTCF_185	1	0.0169
chr1	1959779	1960730	CTCF_186	59	1.0
chr1	1974338	1974568	CTCF_187	2	0.0339
chr1	2037671	2037855	CTCF_188	1	0.0169
chr1	2043190	2043996	CTCF_189	9	0.1525
chr1	2044484	2045526	CTCF_190	58	0.9831
chr1	2046104	2047487	CTCF_191	59	1.0
chr1	2049118	2050103	CTCF_192	35	0.5932
chr1	2055724	2056478	CTCF_193	5	0.0847
chr1	2091519	2092350	CTCF_194	49	0.8305
chr1	2098367	2098951	CTCF_195	8	0.1356
chr1	2104579	2105015	CTCF_196	7	0.1186
chr1	2108465	2109212	CTCF_197	39	0.661
chr1	2114731	2114915	CTCF_198	1	0.0169
chr1	2126589	2126833	CTCF_199	1	0.0169
chr1	2130883	2131633	CTCF_200	5	0.0847
chr1	2132005	2133456	CTCF_201	40	0.678
chr1	2135443	2135963	CTCF_202	8	0.1356
chr1	2139527	2140505	CTCF_203	55	0.9322
chr1	2151821	2152181	CTCF_204	1	0.0169
chr1	2163051	2163956	CTCF_205	14	0.2373
chr1	2164914	2165098	CTCF_206	1	0.0169
chr1	2173599	2173783	CTCF_207	1	0.0169
chr1	2173958	2175066	CTCF_208	59	1.0
chr1	2175888	2176559	CTCF_209	2	0.0339
chr1	2189448	2190349	CTCF_210	4	0.0678
chr1	2194770	2195867	CTCF_211	59	1.0
chr1	2199211	2200131	CTCF_212	11	0.1864
chr1	2200331	2200651	CTCF_213	1	0.0169
chr1	2204482	2204965	CTCF_214	2	0.0339
chr1	2205151	2205993	CTCF_215	8	0.1356
chr1	2206526	2207676	CTCF_216	1	0.0169
chr1	2208200	2208979	CTCF_217	8	0.1356
chr1	2212515	2213514	CTCF_218	41	0.6949
chr1	2227279	2228153	CTCF_219	12	0.2034
chr1	2229011	2229859	CTCF_220	20	0.339
chr1	2230137	2230717	CTCF_221	1	0.0169
chr1	2230970	2231266	CTCF_222	1	0.0169
